"source","target"
"ABCD3","ATP8B1"
"ABCD3","BPNT1"
"ABCD3","C5orf30"
"ABCD3","CAB39"
"ABCD3","CD2AP"
"ABCD3","CDC42"
"ABCD3","CDH17"
"ABCD3","CEBPG"
"ABCD3","CNNM4"
"ABCD3","CPT2"
"ABCD3","DLD"
"ABCD3","EGLN1"
"ABCD3","EHHADH"
"ABCD3","EPB41L4B"
"ABCD3","ETFDH"
"ABCD3","F2RL1"
"ABCD3","FZD5"
"ABCD3","GHITM"
"ABCD3","GMFB"
"ABCD3","GNG12"
"ABCD3","GOLPH3L"
"ABCD3","GPD1L"
"ABCD3","HADHB"
"ABCD3","HNF4A"
"ABCD3","IARS2"
"ABCD3","KBTBD11"
"ABCD3","KLHL8"
"ABCD3","LAMTOR3"
"ABCD3","LGR4"
"ABCD3","LIMA1"
"ABCD3","LNX2"
"ABCD3","LRRC19"
"ABCD3","LRRC8D"
"ABCD3","LRRFIP2"
"ABCD3","MIER1"
"ABCD3","MOB3B"
"ABCD3","MPP5"
"ABCD3","MTM1"
"ABCD3","MYO1D"
"ABCD3","NCOA4"
"ABCD3","NDFIP2"
"ABCD3","PANK3"
"ABCD3","PAPSS2"
"ABCD3","PEX13"
"ABCD3","PGRMC1"
"ABCD3","PLEKHB2"
"ABCD3","PNRC2"
"ABCD3","POF1B"
"ABCD3","PPP1CB"
"ABCD3","PRKACB"
"ABCD3","PRKAR2A"
"ABCD3","RAB7A"
"ABCD3","RAP1A"
"ABCD3","RBM47"
"ABCD3","RNF14"
"ABCD3","SCP2"
"ABCD3","SDHD"
"ABCD3","SH3BGRL2"
"ABCD3","SLC25A24"
"ABCD3","SLC35A3"
"ABCD3","SLC35D1"
"ABCD3","SLC39A14"
"ABCD3","SLC44A1"
"ABCD3","SMIM14"
"ABCD3","SNX6"
"ABCD3","SPPL2A"
"ABCD3","SULT1B1"
"ABCD3","TGFA"
"ABCD3","TMBIM6"
"ABCD3","TWF1"
"ABCD3","UGP2"
"ABCD3","UGT8"
"ABCD3","VAPA"
"ABCD3","VIL1"
"ABCD3","VTA1"
"ABCD3","WASL"
"ABCD3","XK"
"ABCD3","YWHAB"
"ABCD3","ZNRF2"
"ABCE1","DDX18"
"ABCE1","DDX19A"
"ABCE1","DDX21"
"ABCE1","DHX33"
"ABCE1","EML4"
"ABCE1","GART"
"ABCE1","HEATR1"
"ABCE1","IPO7"
"ABCE1","LARP4"
"ABCE1","LRRC8B"
"ABCE1","NAA15"
"ABCE1","NUP58"
"ABCE1","OGFOD1"
"ABCE1","PPAT"
"ABCE1","QTRTD1"
"ABCE1","RNASEH1"
"ABCE1","SLC7A1"
"ABCE1","SYNCRIP"
"ABCE1","USP14"
"ABCE1","UTP20"
"ABCE1","WDR36"
"ABCE1","XRN2"
"ABHD13","ARPP19"
"ABHD13","SLC30A6"
"ABHD13","UBE2W"
"ABHD17C","AFG3L2"
"ABHD17C","ANKS4B"
"ABHD17C","C5orf30"
"ABHD17C","CD2AP"
"ABHD17C","CDH17"
"ABHD17C","CHMP5"
"ABHD17C","F2RL1"
"ABHD17C","FZD5"
"ABHD17C","GNG12"
"ABHD17C","GPD1L"
"ABHD17C","IRF6"
"ABHD17C","LIMA1"
"ABHD17C","LIPH"
"ABHD17C","LRRC1"
"ABHD17C","LRRFIP2"
"ABHD17C","MPP5"
"ABHD17C","NDFIP2"
"ABHD17C","PIP5K1B"
"ABHD17C","PPM1A"
"ABHD17C","PSEN1"
"ABHD17C","RAB7A"
"ABHD17C","RBM47"
"ABHD17C","STX3"
"ABHD17C","TMBIM6"
"ABHD17C","TMEM45B"
"ABHD17C","UGP2"
"ABHD17C","VAPA"
"ABHD17C","VTA1"
"ABHD17C","WASL"
"ABHD17C","ZNRF2"
"ABHD18","ERI2"
"ABHD18","PAPOLA"
"ABHD18","TRPM7"
"ABHD2","ATP13A3"
"ABHD2","KPNA1"
"ABHD2","PAK2"
"ABHD2","SLK"
"ABHD3","SPATS2L"
"ABI1","AGGF1"
"ABI1","ARL8B"
"ABI1","COG6"
"ABI1","CSNK1G3"
"ABI1","CSNK2A1"
"ABI1","CUL2"
"ABI1","DSCR3"
"ABI1","ELF1"
"ABI1","MOB1A"
"ABI1","MTPN"
"ABI1","PPP2R1B"
"ABI1","PRDM4"
"ABI1","RAB18"
"ABI1","RAB5B"
"ABI1","RNF6"
"ABI1","SLC25A46"
"ABI1","SPOPL"
"ABI1","STRN"
"ABI1","TLK1"
"ABI1","UBE2D3"
"ABI1","UBE2G1"
"ABI1","WAC"
"ABI1","WDR82"
"ABI1","YME1L1"
"ABI1","YY1"
"ABI2","ADCY7"
"ABI2","AHR"
"ABI2","AKT3"
"ABI2","ASAP1"
"ABI2","ATP11A"
"ABI2","ATP8B2"
"ABI2","BTAF1"
"ABI2","DCHS1"
"ABI2","DPY19L3"
"ABI2","FBXW7"
"ABI2","FMNL2"
"ABI2","INPP4A"
"ABI2","KIRREL"
"ABI2","PKD2"
"ABI2","SF1"
"ABI2","SLC23A2"
